,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007.0,80000.0,45000.0,Petrol
1,Mahindra Jeep CL550,Mahindra,2006.0,425000.0,40.0,Diesel
2,Maruti Suzuki Alto,Maruti,2018.0,,22000.0,Petrol
3,Hyundai Grand i10,Hyundai,2014.0,325000.0,28000.0,Petrol
4,Ford EcoSport Titanium,Ford,2014.0,575000.0,36000.0,Diesel
5,Ford EcoSport Titanium,Ford,2015.0,,59000.0,Diesel
6,Ford Figo,Ford,2012.0,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
8,Ford EcoSport Ambiente,Ford,2016.0,830000.0,24530.0,Diesel
9,Maruti Suzuki Alto,Maruti,2015.0,250000.0,60000.0,Petrol
10,Skoda Fabia Classic,Skoda,2010.0,182000.0,60000.0,Petrol
11,Maruti Suzuki Stingray,Maruti,2015.0,315000.0,30000.0,Petrol
12,Hyundai Elite i20,Hyundai,2014.0,415000.0,32000.0,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015.0,320000.0,48660.0,Diesel
14,Audi A8,Audi,2017.0,1000000.0,4000.0,Petrol
15,Audi Q7,Audi,2014.0,500000.0,16934.0,Diesel
16,Mahindra Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
17,Maruti Suzuki Alto,Maruti,2014.0,160000.0,35550.0,Petrol
18,Mahindra Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
19,Maruti Suzuki Alto,Maruti,2015.0,75000.0,39000.0,Petrol
20,Hyundai i20 Sportz,Hyundai,2012.0,100000.0,55000.0,Petrol
21,Maruti Suzuki Alto,Maruti,2017.0,190000.0,72000.0,Petrol
22,Maruti Suzuki Vitara,Maruti,2016.0,290000.0,15975.0,Diesel
23,Maruti Suzuki Alto,Maruti,2008.0,95000.0,70000.0,Petrol
24,Mahindra Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
25,Maruti Suzuki Swift,Maruti,2014.0,385000.0,35522.0,Diesel
26,Mahindra Scorpio S10,Mahindra,2015.0,250000.0,48508.0,Diesel
27,Maruti Suzuki Swift,Maruti,2017.0,180000.0,15487.0,Petrol
28,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
29,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
30,Toyota Innova 2.0,Toyota,2012.0,650000.0,82000.0,Diesel
31,Renault Lodgy 85,Renault,2018.0,689999.0,20000.0,Diesel
32,Skoda Yeti Ambition,Skoda,2012.0,448000.0,68000.0,Diesel
33,Maruti Suzuki Baleno,Maruti,2017.0,549000.0,32000.0,Diesel
34,Renault Duster 110,Renault,2012.0,501000.0,38000.0,Diesel
35,Renault Duster 85,Renault,2013.0,489999.0,27000.0,Diesel
36,Honda City 1.5,Honda,2011.0,280000.0,33000.0,Petrol
37,Maruti Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
38,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
39,Honda Amaze 1.5,Honda,2015.0,345000.0,36000.0,Diesel
40,Honda City,Honda,2015.0,499999.0,55000.0,Petrol
41,Datsun Redi GO,Datsun,2017.0,235000.0,16000.0,Petrol
42,Maruti Suzuki SX4,Maruti,2010.0,249999.0,36000.0,Petrol
